state,total,dem,gop
Alabama,1666272,692611,941173
Alaska,285560,79004,167398
Arizona,1532016,685341,781652
Arkansas,921781,422768,472940
California,10965856,5861203,4567429
Colorado,1741368,738227,883748
Connecticut,1459525,816015,561094
Delaware,327622,180068,137288
Dist. of Col.,201894,171923,18073
Florida,5963110,2912253,2912790
Georgia,2596645,1116230,1419720
Hawaii,367951,205286,137845
Idaho,501621,138637,336937
Illinois,4742123,2589026,2019421
Indiana,2199302,901980,1245836
Iowa,1315563,638517,634373
Kansas,1072218,399276,622332
Kentucky,1544187,638898,872492
Louisiana,1765656,792344,927871
Maine,651817,319951,286616
Maryland,2020480,1140782,813797
Massachusetts,2702984,1616487,878502
Michigan,4232711,2170418,1953139
Minnesota,2438685,1168266,1109659
Mississippi,994184,404614,572844
Missouri,2359892,1111138,1189924
Montana,410997,137126,240178
Nebraska,697019,231780,433862
Nevada,608970,279978,301575
New Hampshire,569081,266348,273559
New Jersey,3187226,1788850,1284173
New Mexico,598605,286783,286417
New York,6821999,4107697,2403374
North Carolina,2911262,1257692,1631163
North Dakota,288256,95284,174852
Ohio,4701998,2183628,2350363
Oklahoma,1234229,474276,744337
Oregon,1533968,720342,713577
Pennsylvania,4913119,2485967,2281127
Rhode Island,409047,249508,130555
South Carolina,1382717,565561,785937
South Dakota,316269,118804,190700
Tennessee,2076181,981720,1061949
Texas,6407637,2433746,3799639
Utah,770754,203053,515096
Vermont,294308,149022,119775
Virginia,2739447,1217290,1437490
Washington,2487433,1247652,1108864
West Virginia,648124,295497,336475
Wisconsin,2598607,1242987,1237279
Wyoming,218351,60481,147947
