AL_dem,AL_gop,AK_dem,AK_gop,AZ_dem,AZ_gop,AR_dem,AR_gop,CA_dem,CA_gop,CO_dem,CO_gop,CT_dem,CT_gop,DE_dem,DE_gop,DC_dem,DC_gop,FL_dem,FL_gop,GA_dem,GA_gop,HI_dem,HI_gop,ID_dem,ID_gop,IL_dem,IL_gop,IN_dem,IN_gop,IA_dem,IA_gop,KS_dem,KS_gop,KY_dem,KY_gop,LA_dem,LA_gop,ME_dem,ME_gop,MD_dem,MD_gop,MA_dem,MA_gop,MI_dem,MI_gop,MN_dem,MN_gop,MS_dem,MS_gop,MO_dem,MO_gop,MT_dem,MT_gop,NE_dem,NE_gop,NV_dem,NV_gop,NH_dem,NH_gop,NJ_dem,NJ_gop,NM_dem,NM_gop,NY_dem,NY_gop,NC_dem,NC_gop,ND_dem,ND_gop,OH_dem,OH_gop,OK_dem,OK_gop,OR_dem,OR_gop,PA_dem,PA_gop,RI_dem,RI_gop,SC_dem,SC_gop,SD_dem,SD_gop,TN_dem,TN_gop,TX_dem,TX_gop,UT_dem,UT_gop,VT_dem,VT_gop,VA_dem,VA_gop,WA_dem,WA_gop,WV_dem,WV_gop,WI_dem,WI_gop,WY_dem,WY_gop
0.03141429323976505,0.015899217277345307,0.030949226520960795,0.005749361764182501,-0.01684640530892861,-0.021010421324160238,0.043292126275075865,0.01651259394269787,-0.002236126445881611,-0.02186451121916767,0.06311056531364727,0.02507466672282376,0.013470244365983753,0.006758631588107487,0.011323960564708841,0.024841316192442786,0,0,-0.22719799202798044,-0.10286800754818769,0.02782095665160544,0.017759314731035213,0.008635756046529636,0.03279166478892306,0.03369932427931902,0.0054337311884574075,0.010973262138022561,-0.008738498337218157,0.0062735390189419815,-0.0013924117338776187,0.052237066837346295,-0.06265076150258105,0.024474776863162254,-0.009341577840523608,0.026309453088937618,0.01650926941436516,-0.0022831710355156586,-0.002533008959072132,-0.024460467277733,-0.006009839129450486,0.04971936389292596,0.03714152447044062,0.013417003414121444,-0.016105687047717,-0.030854908080945535,-0.01642381963546517,0.02662737022539391,-0.02204523559226911,0.018321555195221162,-0.010290920026793144,0.04731555525141899,0.03148748744371077,0.022189497145533785,0.015165854386584486,0.033482324890829876,0.006992232268728156,0.04597100360881051,0.03171796675671986,0.01691627350353493,-0.015324806640544012,-0.013861927602413024,-0.010998409070073547,0.023607971130072045,0.024867373705511783,0.0006044296035591793,0.005433351788283848,0.011709969099200395,-0.008517262348395917,0.020226043338969275,0.017596761285292643,0.0358635372473536,0.038234503774553515,-0.001995611328528214,-0.006240229535746069,-0.012663612000580348,-0.010871852514557334,0.01010648020758112,-0.010800405685789456,0.004461087636837545,0.031956609591888264,-0.005782483294327916,-0.005625227686355002,0.022334515484178686,0.011139633748853657,-0.011089819303695236,-0.020253621138344863,-0.013793921545839277,-0.0156009559015917,0.09173784298717388,0.022605715179353846,-0.0014706973067193762,0.018095423858104583,0.008978695084688681,-0.0095684635006895,-0.0007489210114157434,0.003089962729439361,-0.008782194565999874,0.006993269869539819,-0.003591348964731725,0.0034206388079469794,0.037787407759225046,0.01230309921382141
0.03263067866402249,0.016709062515575364,0.03214820189921148,0.006045388162720993,-0.017532536486602936,-0.022122875476834267,0.04494708799737229,0.017353131315028372,-0.0023258397574942055,-0.023023207227786877,0.06547129531732233,0.026339365309209106,0.014001866642600018,0.00710625242570958,0.011771887476864805,0.026094560228046192,0,0,-0.23846058219527136,-0.10877638931761288,0.028902357144766057,0.018662109478529323,0.008978314845083993,0.03443184154668465,0.035000990587899725,0.005713599611678853,0.011407476995237755,-0.009195330100098422,0.006523011140040028,-0.0014646467125853959,0.05421459644211014,-0.06611073620154623,0.025429513525558292,-0.009830244672845677,0.027333753316754656,0.017349640544211183,-0.0023747762465638196,-0.0026645728315677505,-0.02546447481403531,-0.006323127701312687,0.05160677111305113,0.03899050210241396,0.013946554166189295,-0.016954134352236954,-0.032129614286066,-0.017289311321608658,0.027663696195600246,-0.023213726544776388,0.019040945895088087,-0.010829780692995327,0.04911642743221274,0.03306466174459069,0.02305719435995736,0.015938949941639503,0.03477591105536563,0.007351779101048129,0.047723264481082404,0.033306288514146014,0.01758147442999257,-0.016131464101239702,-0.014424780725036484,-0.011574740224696694,0.024529744803657584,0.02612189712760613,0.0006286078190537988,0.005713200782463438,0.012172976843824833,-0.008962425562851229,0.021018612139685172,0.01849144819356272,0.037245576088741905,0.04013562400728528,-0.002075655198127561,-0.006565606575467313,-0.013177176029594404,-0.011441476887253336,0.01050676064421369,-0.0113662445525928,0.004638822676879593,0.033556467576312296,-0.006015330263489715,-0.00591834879039107,0.0232077488971033,0.011709928791643343,-0.011538832012299579,-0.021325167504440388,-0.014353974239582084,-0.016422384241099926,0.09506076040752795,0.02374891995703872,-0.001529654759777412,0.019014973946691986,0.009334729323920451,-0.010069117338277141,-0.0007789213232105303,0.003249508006240103,-0.009136930152250259,0.00735286966115447,-0.0037356364133616007,0.0035971964058169183,0.03924056751128443,0.01293217906027767
0.03384401275746936,0.01751757595923501,0.033344214036380486,0.006341238336992155,-0.018219594242499013,-0.023237756449210535,0.04659633393395383,0.018192233183919083,-0.0024155691315768508,-0.024184533918865325,0.06782015830971931,0.027600786946516694,0.014532916265363552,0.007453630023402041,0.01221940869968783,0.027344587136593886,0,0,-0.24993181163251885,-0.11474841786912643,0.02998135452571292,0.0195632462007667,0.009320636987949016,0.03606646494958514,0.03629915476527362,0.005993310570682659,0.011841310750926357,-0.009652575825200687,0.006772358034083507,-0.0015368921133100404,0.05618389090582576,-0.0695933157514365,0.02638238323291077,-0.010319384904753136,0.028355900728378226,0.018188576742996503,-0.002466398203940681,-0.0027961712392341274,-0.026470452206757207,-0.006636611460740484,0.05348669581779561,0.040832392159239575,0.01447553674799172,-0.017803999746282023,-0.033407476876490705,-0.01815627820782557,0.02869781781104408,-0.024384892396311742,0.019759283003509934,-0.01136921649210678,0.050910504033118496,0.03463670769742371,0.02392335297169358,0.016710832687554463,0.036066039179609335,0.007711065659202124,0.04946910041429282,0.03488940799686366,0.018245775752384615,-0.016939404331025056,-0.014988259139142816,-0.012151728842388023,0.025449779697522795,0.027373196769018674,0.0006527848646881632,0.005992892334347463,0.012635550959090417,-0.009407981944199353,0.021809899711058695,0.01938450697948823,0.03862365844175957,0.04202924318503809,-0.002155711857261245,-0.006891194110575309,-0.013691261222471721,-0.012011743586404562,0.010906717491164262,-0.011932717279360284,0.00481649426564855,0.03515104620551771,-0.006248285069617663,-0.006211640822985313,0.024079423788981223,0.012279566413048098,-0.01198824370026284,-0.02239896707267777,-0.014914646057957628,-0.01724514241530481,0.0983594523759913,0.024889453570503022,-0.0015886191550017507,0.019932803336032385,0.00969050783736634,-0.01057026797947688,-0.0008089234337599217,0.0034090022240258963,-0.009491915309920045,0.007712209101661966,-0.003879965356695145,0.003773691455607703,0.040689344678903845,0.01356045807490109
0.0350543069872335,0.01832476089085008,0.034537273904286514,0.0066369124443084945,-0.018907580454824987,-0.024355072191131838,0.048239893644918,0.019029903223648264,-0.002505314572458413,-0.025348500261555627,0.07015724354683518,0.028858944354564195,0.015063394159071382,0.00780076463639784,0.012666524784094952,0.028591409289952997,0,0,-0.26161753209938476,-0.12078512720408098,0.031057956795939624,0.020462729461137703,0.009662722720279782,0.03769556315400408,0.03759383092617086,0.006272864198320484,0.012274763906581087,-0.010110236075453543,0.007021579795338749,-0.0016091479383246918,0.05814500156270146,-0.07309872240268998,0.027333391456018024,-0.010808999224489699,0.0293759021036707,0.01902608168279677,-0.002558036912238752,-0.002927804195671178,-0.027478405258837164,-0.006950290590192995,0.05535918241512405,0.04266723531553376,0.015003952073447803,-0.018655286788105067,-0.03468850759035764,-0.019024724068967717,0.029729742097509722,-0.02555874234243311,0.020476568833366546,-0.01190922834537617,0.05269782344631709,0.0362036502746543,0.024787977069488393,0.017481505476008595,0.03735272311121527,0.008070092225704761,0.05120854668084983,0.03646735072183128,0.01890917929437102,-0.017748630392167647,-0.015552363887278963,-0.012729376048814035,0.026368080726949704,0.028621285040151073,0.0006769607405660075,0.006272426576760687,0.013097692053893866,-0.009853932013536383,0.022599909157339913,0.020275942083224835,0.03999780127203653,0.043915405614602575,-0.002235781309012242,-0.007216992345399161,-0.014205868372923931,-0.012582653699094316,0.01130635114066275,-0.012499824931776092,0.004994102437121337,0.03674037156840476,-0.006481347787638668,-0.006505103933688308,0.024949544328498927,0.012848547749212656,-0.012438054899614682,-0.0234750269574303,-0.015475938028163569,-0.018069233656203363,0.10163418285083124,0.026027325370826998,-0.0016475904936191247,0.020848916851373855,0.010046030900429628,-0.011071916164130844,-0.0008389273432101808,0.003568445407306294,-0.009847150302473844,0.008071288473701796,-0.004024335812631935,0.003950123990548687,0.042133759058385824,0.014187937785932695
0.03626157276303491,0.019130620582157462,0.03572739242064879,0.006932410641790735,-0.019596497006856617,-0.025474830687186766,0.04987779648688011,0.019866145095964814,-0.0025950760844497276,-0.026515115265853335,0.07248263939182792,0.03011385018744899,0.015593301246514346,0.008147656519561687,0.013113236279976875,0.02983503899662711,0,0,-0.27352381625517164,-0.12688757384354574,0.03213217192144299,0.02136056380626955,0.01000457228687914,0.03931916412631176,0.03888503310957404,0.006552260627309398,0.012707836962844662,-0.0105683114148064,0.00727067651797749,-0.001681414189872278,0.06009797932120412,-0.07662718132887668,0.02828254364433123,-0.011299088321641901,0.030393764194082743,0.019862159023168298,-0.002649692376052221,-0.003059471714481319,-0.028488339796075773,-0.0072641652723742355,0.05722427496228583,0.04449507193525532,0.015531801054517617,-0.019507999047872728,-0.035972718224083496,-0.01989465269279328,0.030759476051002186,-0.02673528562089496,0.021192805690762487,-0.012449817176046917,0.05447842377533334,0.03776551428685108,0.025651070727632418,0.01825097114977163,0.03863597662398989,0.008428859082661683,0.05294163829543156,0.03804014203938279,0.019571686874701226,-0.018559145356707184,-0.016117096014343916,-0.013307682972212022,0.027284652788670597,0.029866174287777086,0.0007011354467526817,0.006551803642381192,0.013559400735973946,-0.010300276292874335,0.023388643572761963,0.021165757928819404,0.04136802144831106,0.04579415525453637,-0.002315863556428991,-0.007543001484536335,-0.014720998276286753,-0.013154208314842378,0.011705661984311706,-0.013067568577914263,0.005171647225231013,0.03832446958224096,-0.006714518492562027,-0.006798738272234249,0.025818114669475235,0.01341687393364125,-0.01288826614330403,-0.024553354303080078,-0.01603785117968169,-0.018894661206238225,0.10488521196943955,0.027162544665470766,-0.001706568776841637,0.021763319299950068,0.010401298788132582,-0.011574062633541311,-0.0008689330517282753,0.0037278375805633633,-0.010202635393763546,0.008430108059516965,-0.004168747799087878,0.00412649404385143,0.04357383032698461,0.014814619717727042
0.03746582143757506,0.019935158294148086,0.036914580449420024,0.007227733086390493,-0.02028634578697297,-0.026597039956925556,0.05151007161472109,0.020700962450142905,-0.0026848536718737147,-0.02768438798277831,0.07479643332610117,0.03136551703392975,0.016122638448479255,0.008494305927385249,0.0135595437362491,0.031075488502161488,0,0,-0.28565696818163,-0.13305683744470245,0.03320400783293639,0.02225675376614891,0.01034618593223855,0.040937295644437516,0.04017277527922133,0.006831499990194945,0.013140530419467921,-0.011026802408232471,0.007519648296073391,-0.0017536908702091899,0.06204287466840832,-0.08017892067490356,0.029229845226036433,-0.011789652887116345,0.03140949372274601,0.02069681241120263,-0.002741364599976956,-0.0031911738092923977,-0.029500261667159473,-0.007578235690207947,0.0590820171692707,0.046315942074694715,0.01605908460120742,-0.020362140107716642,-0.03726012063270964,-0.02076606787997748,0.03178702663781109,-0.027914531511892413,0.0219079958750825,-0.01299098390931911,0.056252342837743725,0.03932232438401876,0.026512638005992618,0.01901923254270399,0.03991581341838146,0.008787366511775198,0.054668410017371376,0.03960780713461285,0.02023330030723378,-0.01937095230647052,-0.016682456567540107,-0.013886650743401681,0.028199500761032746,0.03110787679547451,0.0007253089833533258,0.006831023663741748,0.014020677611944999,-0.010747015305169017,0.02417610604157819,0.02205395892424681,0.04273433574317158,0.04766553571853795,-0.002395958602592811,-0.00786922173283336,-0.015236651729487748,-0.013726408525638644,0.012104650413056181,-0.01363594928824627,0.005349128663915843,0.03990336599410058,-0.0069477972594471195,-0.007092543988511969,0.02668513895096213,0.013984546097241028,-0.013338877965259965,-0.025633956284138098,-0.016600386544286323,-0.019721428318414048,0.10811279611722344,0.028295120718578967,-0.0017655540059156323,0.02267601547103388,0.010756311775120016,-0.012076708130505289,-0.0008989405594760217,0.003887178768281168,-0.010558370847988226,0.008788668140918122,-0.004313201333976224,0.004302801648691285,0.045009578043799674,0.015440505390765533
0.03866706430689454,0.02073837727714556,0.038098848801117045,0.00752287993484617,-0.020977128688653236,-0.027721708055037788,0.05313674798331739,0.021534358923033688,-0.0027746473390322427,-0.028856327504661414,0.07709871196032778,0.03261395741786765,0.016651406683817167,0.008840713114012383,0.014005447700829734,0.03231276998956898,0,0,-0.2980235345130401,-0.13929402143769634,0.034273472426045504,0.023151303854199688,0.010687563900499353,0.042549985299485685,0.04145707132413169,0.007110582419388478,0.01357284477530908,-0.011485709621730372,0.007768495223620178,-0.001825977981608315,0.06397973767437483,-0.0837541716062109,0.030175301608195627,-0.012280693613187996,0.03242309738467941,0.021530045481578223,-0.002833053588610506,-0.003322910493712041,-0.030514176743832833,-0.007892502026835356,0.06093245240222321,0.04812988548538387,0.01658580362157491,-0.021217713561782207,-0.03855072673030259,-0.021638973444224607,0.032812400794765245,-0.029096489338303316,0.02262214167898605,-0.013532729472376026,0.0580196181678538,0.040874105056892325,0.02737268295009581,0.0197862924797875,0.04119224712200128,0.00914561479432261,0.056388896352920666,0.04117037102869023,0.02089402140089876,-0.02018405433310752,-0.017248446596407396,-0.014466280495774517,0.029112629504032796,0.03234640478400485,0.0007494813504318516,0.007110086773211421,0.014481523287280616,-0.011194149574271046,0.024962299638102356,0.022940549461504634,0.04409676083370936,0.049529590278843454,-0.002476066450572685,-0.008195653295426146,-0.01575282953111912,-0.0142992554259513,0.012503316817247813,-0.014204968135646808,0.005526546787070259,0.041477086382242886,-0.007181184163435879,-0.00738652123261566,0.02755062129727576,0.014551565368331307,-0.013789890900333602,-0.02671684010539843,-0.01716354515600927,-0.02054953825626815,0.11131718799498168,0.029425062751180304,-0.0018245461820479566,0.023587010136050447,0.011111070135609536,-0.01257985339927179,-0.0009289498666152545,0.004046468994916293,-0.010914356929731034,0.00914696899932442,-0.004457696435239983,0.004479046838239206,0.04644102165066127,0.016065596321663732
0.03986531261068743,0.021540280770816312,0.03928020823314889,0.007817851343727627,-0.02166884761052899,-0.02884884307154629,0.05475785434925318,0.022366338139119524,-0.002864457090262631,-0.030030942965341235,0.0793895610452175,0.03385918379864714,0.01717960686935381,0.009186878333242224,0.014450948720640858,0.0335468955797056,0,0,-0.31063031621498144,-0.14560025368351615,0.03534057356148231,0.02404421856730743,0.011028706435451011,0.044157260497289436,0.04273793505906049,0.00738950804714904,0.014004780528385361,-0.011945033622323395,0.008017217394495716,-0.001898275526312705,0.06590861799644862,-0.08735316835890662,0.031118918176816196,-0.012772211193458432,0.03343458184688005,0.02236186185661459,-0.002924759346552104,-0.003454681781373313,-0.03153009092101546,-0.008206964465650262,0.0627756236868174,0.0499369416169947,0.017111959021734454,-0.022074723016276113,-0.039844548490272066,-0.022513373212281192,0.033835605429288054,-0.030281168465935884,0.023335245388430112,-0.01407505479438585,0.059780287019345554,0.04242088063822396,0.02823120959117034,0.020552153777203437,0.042465291290074494,0.009503604211201196,0.058103131557608594,0.04272785858024022,0.02155385195976726,-0.020998454538161692,-0.01781506715283064,-0.015046573365336257,0.030024043859400162,0.03358177041171485,0.0007736525480948047,0.007388993103032551,0.014941938366337079,-0.011641679624978925,0.025747227426748655,0.02382553391666091,0.04545531330223177,0.05138636186953724,-0.0025561871034227826,-0.008522296377700543,-0.016269532481346584,-0.014872750112704228,0.012901661586583306,-0.0147746261954015,0.005703901628569427,0.04304565615749882,-0.007414679279736677,-0.007680670154794661,0.028414565818079246,0.015117932872611047,-0.0142413054843406,-0.02780201300214677,-0.01772732805120859,-0.02137899429396232,0.11449863668490833,0.0305523799414737,-0.0018835453064869104,0.02449630804866422,0.011465574143447697,-0.013083499185596727,-0.0009589609733078296,0.004205708284912738,-0.011270593903962069,0.009505010915739687,-0.0046022331208231005,0.004655229645633613,0.047868180473008,0.016689894023204314
0.04106057753271047,0.022340872004209325,0.04045866945014259,0.008112647469414033,-0.022361504456366598,-0.029978453132014315,0.05637341927251476,0.023196903710565146,-0.002954282929881141,-0.031208243540422717,0.0816690654821854,0.03510120857156113,0.017707239919991857,0.009532801838499916,0.014896047341639625,0.03477787733166257,0,0,-0.3234843810560672,-0.151976687153946,0.03640531906527757,0.024935502385973102,0.011369613780576146,0.04575914845995969,0.04401538022503854,0.0076682770055868845,0.014436338175820232,-0.012404774978080116,0.00826581490249817,-0.0019705835065806526,0.06782956488346958,-0.09097614829091547,0.03206070029695124,-0.013264206322886595,0.03444395374850707,0.023192265146323447,-0.003016481878402662,-0.003586487685911801,-0.032548010116848,-0.008521623190247239,0.06461157371158645,0.05173714962019603,0.017637551705862245,-0.022933172089537133,-0.04114159794579189,-0.023389271024008267,0.03485664741965658,-0.0314685783037742,0.024047309282727438,-0.014617960806506184,0.06153438636789501,0.04396267530405231,0.029088221946245902,0.021316819242324727,0.04373495940591807,0.009861335042884724,0.059811149638477897,0.044280294486611735,0.022212793783070714,-0.021814156033062977,-0.018382319291013444,-0.015627530490679296,0.030933748650742023,0.03481398577496104,0.0007978225764046588,0.007667742785284206,0.015401923452320608,-0.01208960598301525,0.026530892462071527,0.024708916649969357,0.04681000963687594,0.05323589308989295,-0.002636320564228851,-0.008849151185317192,-0.016786761382010906,-0.01544689368531274,0.013299685110137073,-0.01534492454521275,0.005881193222264343,0.04460910056463622,-0.007648282683627645,-0.007974990905484711,0.029276976608444204,0.01568364973320526,-0.014693122254065449,-0.02888948224027454,-0.01829173626851106,-0.0222097997163279,0.11765738771508404,0.03167708142507708,-0.0019425513804385427,0.025403913944824035,0.011819824072076665,-0.013587646236693257,-0.0009889738797156206,0.0043648966627023245,-0.011627082035997915,0.009862794170780623,-0.0047468114086687855,0.00483135010397807,0.04929107372075115,0.017313400004308997
0.04225287020107108,0.02314015419584088,0.041634243104266395,0.008407268468098862,-0.023055101135106195,-0.03111054639771218,0.05798347111816789,0.024026059237270903,-0.0030441248622176446,-0.03238823844749151,0.08393730933381675,0.03634004406827829,0.0182343067486512,0.009878483882866192,0.01534074410876273,0.036005727243193196,0,0,-0.3365930768210402,-0.15842450063432176,0.03746771672893213,0.02582515977430704,0.0117102861790076,0.047355676227444916,0.04528942048984169,0.007946889426663986,0.014867518213878857,-0.012864934258079254,0.008514287841328102,-0.002042901924688918,-0.010673920515834644,0.010504826123612015,0.03300065331283893,-0.013756679697761147,0.03545121970102873,0.02402125894846186,-0.003108221188769441,-0.0037183282209702954,-0.033567940272909956,-0.00883647838447537,0.0664403448312479,0.05353054834948306,0.018162582576201507,-0.023793064412045033,-0.04244188719013909,-0.024266670732435505,0.03587553361504832,-0.032658728304228606,0.02475833563453763,-0.0151614484418899,0.06328195291376076,0.045499513074963874,0.02994372401817934,0.022080291673748354,0.045001264881453736,0.0102188075694464,0.06151298435637451,0.045827703285214474,-0.33964920880237776,-0.22954284000821784,-0.018950204067550155,-0.016209153013007804,0.03184174868353872,0.036043062908462487,0.0008219914354693638,0.007946335951900856,0.01586147914732539,-0.012537929175034282,0.027313297788809622,0.02559070200589733,0.04816086623233483,0.05507822620759097,-0.002716466836062817,-0.009176217924184582,-0.017304517036559507,-0.016021687245693344,0.013697387776356255,-0.015915864265207174,0.006058421601981867,0.0461674446837158,-0.007881994450456748,-0.00826948363527354,0.030137857748915472,0.016248717070675812,-0.015145341747222275,-0.029979255116438928,-0.0188567708488614,-0.023041957818859874,0.12079368312266663,0.03279917629523993,-0.0020015644051531063,0.02630983254288599,0.012173820194571973,-0.01409229530128696,-0.0010189885860005215,0.004524034152687014,-0.011983821591547506,0.010220319044630022,-0.0048914313167520455,0.005007408246374474,0.05070972048916325,0.01793611577009064
-0.012228319899743404,-0.007991620346020398,-0.012049503326307248,-0.002905022113311529,0.006685162785611548,0.010764869249413148,-0.01677312758672917,-0.008297314600077085,0.0008821685796045435,0.011207482645066139,-0.0242624075274745,-0.012544452809234604,-0.005280882555219266,-0.00341320407698143,-0.004443248867231883,-0.012429194459934775,0,0,0.09850956289500554,0.05506599654722117,-0.01084498324141633,-0.0089180612341523,-0.003392095723076231,-0.01634065812095035,-0.013105952314556657,-0.002745988783100892,-0.00430624502285974,0.0044486528653857995,-0.002466549017604097,0.0007061587922699902,0.003093930926977264,-0.003629536945287637,-0.009553251766083798,0.00475716551403226,-0.010261918977258007,-0.008295658243022341,0.0009007449981392726,0.0012853703742792258,0.009736527878937723,0.003055190756790705,-0.01921471022668958,-0.018467351539382136,-0.005260121436652663,0.008230744384935077,0.012313673606609973,0.008394719794517641,-0.010384613856402413,0.011301189880776821,-0.00716894711165945,0.00524320568777342,-0.01830299331565078,-0.015701194154998665,-0.008669090313247819,-0.00762587444397936,-0.013022675486393511,-0.0035307499459672686,-0.017792280264674304,-0.015814264562712652,0.09941302046678553,0.07998778266043068,0.005494223911140566,0.005605735578796654,-0.009218078287572828,-0.012442066358447777,-0.0002381809408517738,-0.0027457975876747456,-0.004594002698019384,0.0043355254482017,-0.007908159926154332,-0.008837170350307127,-0.013935721666471142,-0.019000243550765274,0.0007872077170263227,0.003172692964428371,0.005016847546759343,0.005540866136811476,-0.003967463651573558,0.005504248216536418,-0.0017552229677081277,-0.01593131190966812,0.0022844785484762435,0.0028590964196287226,-0.008725244706015142,-0.005612977983408812,0.004390590078480672,0.01037300486101515,0.0054671198215629465,0.007970702083076797,-0.03487815274041148,-0.011323572718794526,0.000580023203752782,-0.009085275200741972,-0.003526318633198865,0.004873281780258035,0.00029527899937828255,-0.0015634355079890757,0.003473751359830377,-0.003531271994609115,0.0014175836440227614,-0.0017304524938293647,-0.014672153590395988,-0.006195506046920551
-0.010972892598724323,-0.007168885168420987,-0.01081263043233397,-0.002607305390487184,0.006010356510330077,0.009675163223030017,-0.015044170325093533,-0.007442875902046361,0.000792654269325904,0.010073428006389471,-0.02174495285045807,-0.011247774567752594,-0.004742059267073854,-0.00306324803468522,-0.003990230936375964,-0.011144561219457288,0,0,0.08940013209128295,0.0497171601751263,-0.009732942555783391,-0.007999192325926469,-0.0030465747097343384,-0.01464590293219021,-0.011759375640281133,-0.0024646103990758122,-0.0038672492995808264,0.003995742108138993,-0.0022155129416979455,0.0006340231582730904,0.0027806120267834205,-0.0032573282757258014,-0.008574788338999322,0.004272980351796375,-0.009210210236745953,-0.0074413913717139655,0.0008093472516157461,0.0011541353716734903,0.008756429295681352,0.0027437553264995514,-0.017229812267213134,-0.016548437078239966,-0.004723426416923308,0.007395644905151574,0.011077056195324952,0.007543109744243357,-0.009320214532920664,0.010157750669465058,-0.006436245896554679,0.0047097853724221974,-0.016413793313565232,-0.014073678717525212,-0.007781882536036961,-0.006841048255978317,-0.011684753810488455,-0.003168703858592309,-0.01595662111963533,-0.014174865186881852,0.0902284064923532,0.07240365545207744,0.004939034325524197,0.005035619795955226,-0.008274225367351697,-0.011156088068825462,-0.00021398819313499698,-0.002464438843379938,-0.004125551309492611,0.003894086975777907,-0.007099375022909759,-0.007926701483871566,-0.012502837845120275,-0.01702503147340337,0.0007073223354049551,0.0028493140042028233,0.0045096779485644944,0.004977314698290347,-0.003563127178095211,0.004944402602978775,-0.0015766968458422533,-0.014279608150966327,0.002052963170485394,0.002567598676860735,-0.007832245379081322,-0.005036346926649686,0.003946479791823884,0.009322592647690833,0.004914655560695911,0.007161796226800411,-0.03122563409508089,-0.010154358366382456,0.0005211518202980932,-0.008149038310335088,-0.0031670824353688828,0.004377330263576132,0.0002653010036990431,-0.0014034016201979877,0.0031220889328896777,-0.0031691722068731775,0.0012738096297186994,-0.0015532961665702288,-0.013162566176834624,-0.005558700063379624
-0.009720575555193527,-0.006347491948669943,-0.00957877712806748,-0.0023097653722216945,0.005334632755409422,0.008583053786795131,-0.013321083043022996,-0.006589884093418159,0.0007031239178368031,0.008936769066790431,-0.01923984274365517,-0.009954413166377482,-0.004203813280272339,-0.002713536012564107,-0.0035376214561268185,-0.009863183893061123,0,0,0.08010472303616044,0.0443074244795084,-0.008623345915611081,-0.0070819956086127,-0.0027012915768290973,-0.012956790366685948,-0.010416373837550345,-0.0021833898847096536,-0.003428637190451952,0.003542419073781637,-0.0019646025624221256,0.000561877109074392,0.002467096117863167,-0.002885395580374903,-0.007598219737505342,0.003788323848555867,-0.008160688930959203,-0.006588570810550899,0.0007179327814037916,0.0010228658749498673,0.007774388714294411,0.002432125256877396,-0.015252630370056315,-0.014636739948085611,-0.004187304160081012,0.006559137882522127,0.009837338326697706,0.006690035677837569,-0.008258055452707622,0.009011663600081774,-0.005704609966087492,0.00417579267617495,-0.014531590182603006,-0.012451370655945582,-0.006896234132268513,-0.006057443697504438,-0.010350361519330232,-0.002806918909399834,-0.014127571531609005,-0.012540748863063602,0.08085452415356129,0.0646934492986894,0.004383224516972465,0.004464849909455137,-0.007332136240252831,-0.00987337246917342,-0.00018979661568611033,-0.002183237946738963,-0.0036575366036853056,0.003452256896812241,-0.006291887080171417,-0.007017874519873797,-0.011073998182779377,-0.015057462014147106,0.0006274241793598683,0.0025257251623133996,0.004001991050799054,0.004413124178099051,-0.0031591162573291944,0.004383926310704177,-0.0013982343441002916,-0.012633266363259862,0.001821340323361452,0.0022759304551107453,-0.006940825753788625,-0.004460376785833756,0.0035019731208718505,0.008269948203022695,0.004361577169499535,0.006351570121886309,-0.027598807310033314,-0.0089878444029877,0.0004622735007337263,-0.007214537104769959,-0.0028081033398488177,0.003880884155506204,0.00023532121007455856,-0.001243418865970251,0.0027701782232383873,-0.0028073336346389486,0.0011299942088277858,-0.0013762024885270536,-0.011657463894361935,-0.00492269961985927
