date,mean,mode,probability,iterations,demPopWins,gopPopWins,demMismatch,gopMismatch,demLandslide,gopLandslide,demGains,demLosses,demSupermajority,gopSupermajority
1469640762057,11.563309999994999,3,0.16773000000002697,100000,0.3914300000002507,0.6085699999997494,0.22370000000008294,0,0.04361000000000268,0.1245799999999844,0.710109999999403,0.2671800000005977,0.0007500000000000013,0.0027300000000000063
1469552713120,11.589929999995064,3,0.17082000000003006,100000,0.3912500000002505,0.6087499999997494,0.22043000000007967,0,0.045220000000003174,0.12497999999998424,0.7050899999994259,0.2713900000005749,0.0007500000000000013,0.0025100000000000057
1469465549236,11.549749999995129,3,0.17190000000003114,100000,0.39179000000025105,0.608209999999749,0.21989000000007913,0,0.046370000000003526,0.12741999999998666,0.7022299999994389,0.27456000000056185,0.0008000000000000014,0.0027400000000000063
1469413575761,13.491279999994958,5,0.17083000000003007,100000,0.38857000000024783,0.6114299999997521,0.21774000000007698,0,0.04557000000000328,0.12821999999998746,0.7448099999992451,0.23431000000075555,0.0008800000000000017,0.002990000000000007
1469257200000,13.57963999999697,3,0.17467999999999767,50000,0.3938000000001123,0.6061999999998877,0.21911999999998044,0,0.04739999999999841,0.12980000000001507,0.7425800000004611,0.23683999999953942,0.0006600000000000004,0.0030800000000000068
1469170800000,13.15991999999693,3,0.17015999999999942,50000,0.3868200000001053,0.6131799999998947,0.2166599999999814,0,0.04487999999999851,0.13450000000001325,0.7348800000004534,0.24461999999954712,0.0010800000000000015,0.0033000000000000074
1469084400000,13.166219999997082,4,0.17295999999999834,50000,0.3849000000001034,0.6150999999998966,0.21193999999998323,0,0.04679999999999843,0.13552000000001285,0.7333400000004519,0.24765999999954857,0.0009000000000000011,0.0033800000000000076
1468998000000,13.069839999997043,5,0.17093999999999912,50000,0.3859000000001044,0.6140999999998956,0.21495999999998205,0,0.045519999999998485,0.13632000000001254,0.7315800000004501,0.24737999999955043,0.0006400000000000004,0.003900000000000009
1468911600000,13.082899999997181,4,0.17569999999999728,50000,0.3830000000001015,0.6169999999998985,0.20729999999998502,0,0.049479999999998324,0.13970000000001123,0.7266600000004452,0.2528999999995553,0.0009800000000000013,0.004040000000000009
1468825200000,13.446059999997743,4,0.21103999999998357,50000,0.39088000000010936,0.6091199999998906,0.17983999999999567,0,0.06629999999999896,0.16913999999999982,0.6876400000004061,0.2935799999995943,0.0026200000000000056,0.010379999999999914
1468738800000,13.216959999997982,3,0.2130599999999828,50000,0.38868000000010716,0.6113199999998928,0.1756199999999973,0,0.06563999999999875,0.17625999999999706,0.6797200000003982,0.3013399999996022,0.0025600000000000054,0.010559999999999906
1468652400000,13.626659999997798,3,0.21475999999998213,50000,0.39526000000011374,0.6047399999998863,0.18049999999999541,0,0.06813999999999952,0.17063999999999924,0.687440000000406,0.2943399999995945,0.0029800000000000065,0.010879999999999893
1468566000000,13.086379999997774,3,0.21395999999998244,50000,0.387520000000106,0.612479999999894,0.1735599999999981,0,0.06467999999999846,0.17839999999999623,0.6763800000003949,0.3060799999996055,0.002760000000000006,0.011179999999999881
1468479600000,13.105799999997458,5,0.21247999999998302,50000,0.3887400000001072,0.6112599999998928,0.17625999999999706,0,0.06563999999999875,0.176439999999997,0.6760800000003946,0.3058399999996058,0.0028800000000000063,0.012959999999999808
1468393200000,12.985699999997877,5,0.21141999999998343,50000,0.38356000000010204,0.616439999999898,0.17213999999999866,0,0.06827999999999956,0.18143999999999505,0.6692200000003877,0.31299999999961264,0.003560000000000008,0.013079999999999804
1468306800000,12.907199999997886,3,0.21309999999998278,50000,0.3826400000001011,0.6173599999998989,0.16953999999999966,0,0.06637999999999898,0.1797399999999957,0.6690200000003875,0.31255999999961287,0.0033400000000000075,0.012559999999999825
1468220400000,13.50911999999829,1,0.2424199999999714,50000,0.3919000000001104,0.6080999999998896,0.14948000000000744,0,0.08126000000000354,0.19949999999998805,0.6519600000003705,0.33237999999962986,0.005220000000000012,0.018679999999999575
1468134000000,13.468299999998209,4,0.2388399999999728,50000,0.39168000000011016,0.6083199999998898,0.15284000000000614,0,0.0818000000000037,0.19929999999998813,0.6510400000003695,0.3329199999996308,0.005840000000000014,0.018759999999999572
1468047600000,13.461839999998404,2,0.24209999999997153,50000,0.3904400000001089,0.6095599999998911,0.14834000000000788,0,0.08560000000000487,0.20239999999998692,0.6479000000003664,0.3368999999996339,0.006420000000000015,0.021679999999999453
1467961200000,13.890399999998635,2,0.26689999999998537,50000,0.3968400000001153,0.6031599999998847,0.12994000000001502,0,0.09506000000000776,0.21963999999998024,0.6344200000003529,0.3522399999996473,0.009319999999999957,0.029919999999999117
1467874800000,13.340439999998807,-6,0.2663199999999848,50000,0.3900200000001085,0.6099799999998915,0.12370000000001653,0,0.09808000000000869,0.230579999999976,0.622540000000341,0.36451999999965917,0.00973999999999994,0.034719999999998925
1467788400000,13.013259999998809,-3,0.2629399999999814,50000,0.386500000000105,0.613499999999895,0.1236000000000165,0.00004,0.09500000000000774,0.23259999999997522,0.6192600000003378,0.36757999999966245,0.009319999999999957,0.03575999999999888
1467702000000,14.393859999999421,-3,0.30078000000001925,50000,0.3983000000001168,0.6016999999998832,0.09766000000000856,0.00014000000000000001,0.11930000000001519,0.24559999999997018,0.6112000000003297,0.37691999999967046,0.01705999999999964,0.05051999999999828
1467615600000,14.099519999999586,-4,0.30046000000001893,50000,0.39896000000011744,0.6010399999998826,0.09852000000000882,0.00002,0.11676000000001441,0.24947999999996867,0.6074200000003259,0.3814799999996742,0.01687999999999965,0.053159999999998174
1467529200000,13.988639999999293,-2,0.2988200000000173,50000,0.39648000000011496,0.603519999999885,0.0977800000000086,0.00012,0.11732000000001458,0.25205999999997053,0.6052200000003237,0.3841199999996764,0.017039999999999642,0.052879999999998185
1467442800000,13.891379999999344,-8,0.2990400000000175,50000,0.3962400000001147,0.6037599999998853,0.09724000000000843,0.00004,0.11526000000001395,0.25317999999997165,0.6067400000003252,0.3816799999996749,0.017039999999999642,0.05521999999999809
1467356400000,14.119519999999369,-1,0.3019000000000204,50000,0.39748000000011596,0.602519999999884,0.09562000000000793,0.00004,0.11854000000001495,0.25097999999996945,0.6066800000003252,0.38239999999967494,0.0180799999999996,0.054839999999998106
