id,prob,gap,stddev,flip
AK,0.46588000000032515,-0.0036599714755439633,0.04155699200358357,false
AL-1,0,-0.26811358370788707,0.04347275372511485,false
AL-4,0,-0.8894188097944058,0.04767167514418448,false
AL-5,0,-0.6479155973428106,0.046085016484814334,false
AL-6,0,-0.4284968460026082,0.044594532701508115,false
AL-7,0.9999999999980838,1.0800485783147378,0.04888774615174952,false
AL-2,0,-0.2514585185252897,0.04335459857750174,false
AL-3,0,-0.2276562394337342,0.043185178201665515,false
AR-1,0,-0.21237347021825748,0.04307604690852724,false
AR-2,0.6315999999997604,0.013756796708790014,0.04163175438518382,true
AR-3,0,-0.6978192320745402,0.046417325648786305,false
AR-4,0.35489000000021415,-0.015482167755295456,0.041644516542821974,false
AZ-2,0.9881199999981378,0.09556408384627745,0.042232619994479685,true
AZ-8,0,-0.6617912050268034,0.04617765441812891,false
AZ-9,0.9999999999980838,0.22447385849188506,0.04316247618235715,false
AZ-3,0.9999999999980838,0.21130411344387184,0.04306840048756221,false
AZ-5,0,-0.2952372341095365,0.04366449127858215,false
AZ-6,0.00001,-0.2009075287388209,0.042993988969467455,false
AZ-7,0.9999999999980838,0.8448692758283511,0.04738298455814179,false
AZ-1,0.9998199999980846,0.14855264827508774,0.04261729468413819,false
AZ-4,0,-0.34539994884729075,0.04401689177263518,false
CA-36,0.9999899999980838,0.18000722451696166,0.042844008088336105,false
CA-3,0.9997999999980847,0.1508175856067358,0.04263365982727143,false
CA-5,0.9999999999980838,0.8536406781610333,0.04743996403326997,false
CA-6,0.9999999999980838,0.5501078921916549,0.045426662583279556,false
CA-7,0.9934999999981133,0.10425076987794574,0.04229592143861671,false
CA-8,0,-0.25661169571134107,0.04339119086336271,false
CA-9,0.9996299999980854,0.14373304842444298,0.042582450078245786,false
CA-10,0.26291000000012216,-0.026653029703640405,0.04172705029499881,false
CA-11,0.9999999999980838,0.44180406810582445,0.04468634309146323,false
CA-12,0.9999999999980838,0.7614004771740004,0.04683729879256685,false
CA-13,0.9999999999980838,0.865900703857587,0.047519491295857794,false
CA-14,0.9999999999980838,0.6302451554097156,0.04596677277553188,false
CA-15,0.9999999999980838,0.49243190367633427,0.04503392859007156,false
CA-16,0.995559999998104,0.1109493580781194,0.042344670634424195,false
CA-17,0.9999999999980838,1.09632537211013,0.048990180820499656,false
CA-18,0.9999999999980838,0.4514117835651216,0.04475251242610286,false
CA-19,0.9999999999980838,1.09632537211013,0.048990180820499656,false
CA-20,0.9999999999980838,0.8481049586221404,0.04740401169042485,false
CA-21,0.07574000000000333,-0.0603572941533973,0.04197508427863634,false
CA-22,0,-0.3443759823018333,0.044009726468674217,false
CA-23,0,-0.40046297192872327,0.044400497631758705,false
CA-24,0.9992499999980872,0.13486778284687248,0.04251828166144759,false
CA-25,0,-0.9036746278898701,0.04776368740160124,false
CA-26,0.9980999999980924,0.12295804379753314,0.04243192403853833,false
CA-27,0.9999999999980838,0.2834706926932934,0.04358141699056217,false
CA-28,0.9999999999980838,0.8612758144702709,0.04748950661152625,false
CA-2,0.9999999999980838,0.5961506787429612,0.045737761911470436,false
CA-30,0.9999999999980838,0.40912535391218174,0.04446054428381121,false
CA-31,0.9989799999980884,0.131000269889333,0.04249025753444576,false
CA-32,0.9999999999980838,0.28943960569542004,0.043623578558468795,false
CA-33,0.9999999999980838,0.2800702022208762,0.04355737929257824,false
CA-34,0.9999999999980838,1.09632537211013,0.048990180820499656,false
CA-35,0.9999999999980838,1.09632537211013,0.048990180820499656,false
CA-4,0,-0.9036746278898701,0.04776368740160124,false
CA-37,0.9999999999980838,0.7819520810392301,0.046972245273385255,false
CA-38,0.9999999999980838,0.27812878397040613,0.04354364966709538,false
CA-39,0,-0.27457348320981756,0.04351849550528591,false
CA-40,0.9999999999980838,1.09632537211013,0.048990180820499656,false
CA-41,0.9999999999980838,0.22918575529626958,0.04319608500049854,false
CA-42,0,-0.21842901540199638,0.043119321421360164,false
CA-43,0.9999999999980838,0.5154614385853544,0.04519115328140425,false
CA-44,0.9999999999980838,0.9628410120857334,0.04814368940386708,false
CA-45,0,-0.2060895767548318,0.043031094547219054,false
CA-46,0.9999999999980838,0.29030004653850416,0.043629652944176346,false
CA-47,0.9999999999980838,0.21611467518954647,0.04310278766903032,false
CA-48,0.00002,-0.18611405693532335,0.04288788504093942,false
CA-49,0.00559999999999994,-0.10705573146834771,0.04231634147336391,false
CA-50,0,-0.32767605192943805,0.04389270200611867,false
CA-51,0.9999999999980838,0.47211548803447406,0.044894769477189476,false
CA-52,0.9987899999980893,0.12806278676362834,0.04246896007772117,false
CA-53,0.9999999999980838,0.2730566141733003,0.04350775905637578,false
CA-1,0.0017300000000000039,-0.12427618446835528,0.04244149053584936,false
CA-29,0.9999999999980838,0.588587924053056,0.04568680771500354,false
CO-2,0.9999999999980838,0.23118785024971858,0.04321035754527434,false
CO-4,0,-0.2581685844075119,0.043402240133133665,false
CO-5,0.009059999999999799,-0.0996343775617424,0.042262292762124,false
CO-6,0.5696100000000425,0.007264454732037032,0.04158369698386338,true
CO-7,0.9999999999980838,0.19778444776879467,0.0429716109620229,false
CO-1,0.9999999999980838,0.4647318727887801,0.04484408775179974,false
CO-3,0.001360000000000003,-0.1265058762670189,0.04245766777180689,false
CT-3,0.9999999999980838,0.38476630018923863,0.04429148267358572,false
CT-4,0.9999299999980841,0.1626835210034901,0.04271929383962285,false
CT-5,0.9999599999980839,0.1612664647444823,0.04270907626447655,false
CT-1,0.9999999999980838,0.32039722784789504,0.043841598031823775,false
