date,mean,mode,probability,iterations,demPopWins,gopPopWins,demMismatch,gopMismatch,demLandslide,gopLandslide,demGains,demLosses,demSupermajority,gopSupermajority
1476940180883,23.826180000000704,19,0.261740000000121,100000,0.9365799999983724,0.06342000000162762,0.6748399999995636,0,0.09703999999999507,0,0.9991199999980878,0.00062000000191224,0,0
1476899451913,23.700360000000188,16,0.2596500000001189,100000,0.9289099999984073,0.07109000000159271,0.669259999999589,0,0.09715999999999503,0.00001,0.998399999998091,0.0009900000019089623,0,0
1476820079241,22.729200000003715,15,0.21641000000007565,100000,0.9387899999983623,0.06121000000163768,0.7223799999993472,0,0.06497000000000751,0.00001,0.9994899999980861,0.0002500000019139239,0,0
1476810441349,22.739250000003636,18,0.21593000000007517,100000,0.9383299999983644,0.06167000000163558,0.7223999999993471,0,0.06515000000000744,0.00001,0.9994199999980864,0.00038000000191360536,0,0
1476724424756,22.688010000003686,17,0.21419000000007343,100000,0.9373099999983691,0.06269000000163094,0.7231199999993438,0,0.06375000000000798,0,0.9994199999980864,0.0003600000019136053,0,0
1476636725253,22.32537000000346,15,0.20658000000006582,100000,0.926549999998418,0.07345000000158197,0.7199699999993582,0,0.06176000000000824,0.00002,0.9990899999980879,0.0005700000019121033,0,0
1476501971491,22.667180000002475,17,0.22093000000008017,100000,0.9275099999984137,0.07249000000158634,0.7065799999994191,0,0.07048000000000537,0,0.9990499999980881,0.000530000001911921,0,0
1476455115770,22.65997000000209,16,0.22273000000008197,100000,0.9221199999984382,0.07788000000156181,0.6993899999994518,0,0.07422000000000392,0,0.9989499999980885,0.0006400000019114659,0,0
1476371852766,22.550930000001387,16,0.22313000000008237,100000,0.9136599999984767,0.08634000000152331,0.6905299999994922,0,0.07740000000000269,0.00002,0.9981599999980921,0.0012500000019078702,0,0
1476322356201,22.58018000000152,15,0.22399000000008323,100000,0.9134499999984776,0.08655000000152235,0.689459999999497,0,0.07715000000000279,0.00004,0.9981699999980921,0.0012500000019079157,0,0
1476294851383,22.50417000000138,16,0.22249000000008173,100000,0.9105899999984907,0.08941000000150934,0.6880999999995032,0,0.07616000000000317,0.00002,0.9978899999980934,0.0014200000019066411,0,0
1476212108605,21.17036000000573,14,0.16444000000002368,100000,0.9153299999984691,0.08467000000153091,0.7508899999992175,0,0.04381000000000274,0.00001,0.9991299999980877,0.0005100000019122853,0,0
1476126012497,21.239420000003975,15,0.17564000000003488,100000,0.9017499999985309,0.0982500000014691,0.7261099999993302,0,0.05059000000000482,0.00002,0.9984399999980909,0.0011000000019091448,0,0
1476025622082,21.304050000003286,15,0.18082000000004006,100000,0.8951199999985611,0.10488000000143893,0.714299999999384,0,0.05555000000000634,0.00002,0.9974999999980951,0.0015800000019048656,0,0
1475948550497,21.687860000002075,16,0.19773000000005697,100000,0.894469999998564,0.10553000000143598,0.6967399999994639,0,0.06493000000000752,0.00004,0.9976399999980945,0.0014900000019055029,0,0
1475876361201,21.66522000000225,17,0.1960500000000553,100000,0.894689999998563,0.10531000000143698,0.6986399999994553,0,0.06394000000000791,0.00002,0.997309999998096,0.0016900000019040007,0,0
1475769231290,21.61226000000218,15,0.19533000000005457,100000,0.8927699999985718,0.10723000000142824,0.6974399999994607,0,0.06394000000000791,0.00008,0.997319999998096,0.001960000001904047,0,0
1475689495798,21.532600000002077,16,0.193750000000053,100000,0.8903699999985827,0.10963000000141732,0.6966199999994644,0,0.06289000000000831,0.000030000000000000004,0.9972399999980963,0.0017800000019036822,0,0
1475633918248,21.823580000000845,16,0.20921000000006845,100000,0.8869899999985981,0.11301000000140193,0.6777799999995502,0,0.07329000000000428,0.00006,0.9965299999980995,0.0024800000019004507,0,0
1475607652516,21.755290000001196,17,0.20549000000006473,100000,0.8857099999986039,0.11429000000139611,0.6802199999995391,0,0.0722300000000047,0.000030000000000000004,0.9965499999980995,0.002410000001900542,0,0
1475520522124,21.33237000000156,17,0.19364000000005288,100000,0.8745399999986547,0.12546000000134527,0.680899999999536,0,0.06765000000000647,0.00007000000000000001,0.9953799999981048,0.003230000001895216,0,0
