id,prob,gap,stddev,flip
AK,0.5790999999999993,0.00837372611430777,0.041955089333962345,true
AL-1,0,-0.25607988611803534,0.04376627156430345,false
AL-4,0,-0.8773851122045541,0.04800945282676998,false
AL-5,0,-0.6358818997529588,0.0464062326851516,false
AL-6,0,-0.41646314841275645,0.044900015351508976,false
AL-7,0.9999999999980838,1.0920822759045894,0.049391043949981936,false
AL-2,0,-0.239424820935438,0.04364684962809437,false
AL-3,0,-0.21562254184388246,0.04347561057744407,false
AR-1,0.00001,-0.20033977262840574,0.043365306376377574,false
AR-2,0.7310299999993078,0.025790494298641747,0.042084985263243405,true
AR-3,0,-0.6857855344846885,0.04674202583921366,false
AR-4,0.4651600000003244,-0.0034484701654437233,0.04191828329373265,false
AZ-2,0.9944999999981088,0.10759778143612918,0.042689823959896664,true
AZ-8,0,-0.6497575074369517,0.046499842696216265,false
AZ-9,0.9999999999980838,0.2365075560817368,0.04362589829757549,false
AZ-3,0.9999999999980838,0.22333781103372358,0.043531189776575364,false
AZ-5,0,-0.2832035365196848,0.04396006209756454,false
AZ-6,0.00001,-0.18887383114896916,0.04328236576729595,false
AZ-7,0.9999999999980838,0.8569029734182029,0.04787556566127913,false
AZ-1,0.9999099999980842,0.16058634586493947,0.04307706102130192,false
AZ-4,0,-0.333366251257439,0.04431622719771894,false
CA-36,0.9999999999980838,0.1920409221068134,0.04330529127419703,false
CA-3,0.999939999998084,0.16285128319658754,0.04309353549273986,false
CA-5,0.9999999999980838,0.865674375750885,0.04793294814307876,false
CA-6,0.9999999999980838,0.5621415897815066,0.04590555040891869,false
CA-7,0.997079999998097,0.11628446746779747,0.04275354607085624,false
CA-8,0,-0.24457799812148934,0.043683834371735134,false
CA-9,0.9998999999980842,0.15576674601429472,0.04304198371966145,false
CA-10,0.36609000000022535,-0.014619332113788672,0.04200171586208781,false
CA-11,0.9999999999980838,0.4538377656956762,0.045160126237129394,false
CA-12,0.9999999999980838,0.7734341747638521,0.047326031967959974,false
CA-13,0.9999999999980838,0.8779344014474387,0.04801303826730785,false
CA-14,0.9999999999980838,0.6422788529995673,0.04644941234972842,false
CA-15,0.9999999999980838,0.504465601266186,0.04551010286866417,false
CA-16,0.9979099999980933,0.12298305566797113,0.042802619495510404,false
CA-17,0.9999999999980838,1.1083590696999817,0.04949421354169549,false
CA-18,0.9999999999980838,0.46344548115497336,0.04522674999944414,false
CA-19,0.9999999999980838,1.1083590696999817,0.04949421354169549,false
CA-20,0.9999999999980838,0.8601386562119921,0.04789674148869698,false
CA-21,0.1268599999999861,-0.04832359656354557,0.04225244677732867,false
CA-22,0,-0.3323422847119816,0.04430898545858209,false
CA-23,0,-0.38842927433887153,0.04470391858161245,false
CA-24,0.9997399999980849,0.1469014804367242,0.04297738708574981,false
CA-25,0,-0.8916409303000183,0.048102419973955875,false
CA-26,0.9992199999980873,0.13499174138738487,0.04289045379851614,false
CA-27,0.9999999999980838,0.2955043902831451,0.0440476670865248,false
CA-28,0.9999999999980838,0.8733095120601226,0.047982841311945794,false
CA-2,0.9999999999980838,0.608184376332813,0.04621880794137818,false
CA-30,0.9999999999980838,0.4211590515020335,0.04493277947945719,false
CA-31,0.9996899999980852,0.14303396747918473,0.042949176069248966,false
CA-32,0.9999999999980838,0.3014733032852718,0.04409011413864981,false
CA-33,0.9999999999980838,0.29210389981072793,0.04402346669601085,false
CA-34,0.9999999999980838,1.1083590696999817,0.04949421354169549,false
CA-35,0.9999999999980838,1.1083590696999817,0.04949421354169549,false
CA-4,0,-0.8916409303000183,0.048102419973955875,false
CA-37,0.9999999999980838,0.7939857786290818,0.04746192805206738,false
CA-38,0.9999999999980838,0.29016248156025787,0.044009644168660135,false
CA-39,0,-0.2625397856199658,0.04381250341665636,false
CA-40,0.9999999999980838,1.1083590696999817,0.04949421354169549,false
CA-41,0.9999999999980838,0.24121945288612132,0.043659733393346174,false
CA-42,0,-0.20639531781214465,0.043409046123340796,false
CA-43,0.9999999999980838,0.5274951361752063,0.0456684123953185,false
CA-44,0.9999999999980838,0.9748747096755851,0.04864166925353523,false
CA-45,0,-0.19405587916498007,0.04331987055615518,false
CA-46,0.9999999999980838,0.3023337441283559,0.04409622966833978,false
CA-47,0.9999999999980838,0.2281483727793982,0.043565808177740604,false
CA-48,0.00005,-0.1740803593454716,0.04317511956862606,false
CA-49,0.013309999999999626,-0.09502203387849598,0.042597404333375735,false
CA-50,0,-0.3156423543395863,0.04419071200636666,false
CA-51,0.9999999999980838,0.4841491856243258,0.045369985249674116,false
CA-52,0.9996099999980855,0.14009648435348007,0.04292773663324298,false
CA-53,0.9999999999980838,0.285090311763152,0.043973510783404016,false
CA-1,0.004359999999999991,-0.11224248687850355,0.04272390751445431,false
CA-29,0.9999999999980838,0.6006216216429077,0.046167499738633294,false
CO-2,0.9999999999980838,0.2432215478395703,0.043674102062213456,false
CO-4,0,-0.24613488681766016,0.04369500212234285,false
CO-5,0.020319999999999342,-0.08760067997189067,0.04254277033256732,false
CO-6,0.6795299999995422,0.019298152321888765,0.04203661167783514,true
CO-7,0.9999999999980838,0.2098181453586464,0.04343375002894177,false
CO-1,0.9999999999980838,0.4767655703786318,0.04531895483108793,false
CO-3,0.003800000000000009,-0.11447217867716716,0.04274025967605636,false
CT-3,0.9999999999980838,0.39679999777909036,0.044762561697892014,false
CT-4,0.9999699999980839,0.17471721859334183,0.04317974200632289,false
CT-5,0.9999799999980838,0.17330016233433404,0.043169456085358306,false
CT-1,0.9999999999980838,0.33243092543774677,0.04430961239403265,false
